,Unnamed: 0,video_id,channel_title,channel_id,date,video_title,video_links,domains
16830,16830,f-bKtOeeZBE,Henrik Montin,UCEOewz06vQvIdQ8qy3M70zg,2022-02-25 08:10:20,I'm with Ukraine,['https://www.icrc.org/en/donate/ukraine'],['www.icrc.org']
23120,23120,2m8MMpmRz5g,AFK4LYF Gaming,UC8f1E0R3jybKKEmK_qpF8hQ,2022-02-26 00:40:05,My thoughts on trolling during inappropriate times,"['https://twitter.com/11bitstudios/status/1496904408344449027', 'https://www.gog.com/en/game/this_war_of_mine', 'https://store.steampowered.com/app/282070/This_War_of_Mine/', 'https://www.epicgames.com/store/en-US/p/this-war-of-mine', 'https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine', 'https://ukraine.ua/news/support-the-armed-forces-of-ukraine/']","['twitter.com', 'www.gog.com', 'store.steampowered.com', 'www.epicgames.com', 'www.icrc.org', 'ukraine.ua']"
28300,28300,3f5ozT0kkLI,HÖR BERLIN,UCmfF7JZv26UUKyRedViGIlw,2022-02-26 18:09:32,HÖR SUPPORTS - UKRAINE EMERGENCY FUNDRAISER - Telephones | HÖR - Feb 26 / 2022,['https://www.icrc.org/en/donate/ukraine'],['www.icrc.org']
28359,28359,g2GYKfjN1hQ,Kiki and Kibbitz,UCYW9t8On4FtDiIIzEpRKupA,2022-02-26 18:20:23,Kiki and Kibbitz Ukraine Fund Raiser,"['https://fortune.com/2022/02/25/how-to-help-ukraine/', 'https://www.icrc.org/en/donate/ukraine']","['fortune.com', 'www.icrc.org']"
28608,28608,eEx4845VBf0,HÖR BERLIN,UCmfF7JZv26UUKyRedViGIlw,2022-02-26 19:09:12,HÖR SUPPORTS - UKRAINE EMERGENCY FUNDRAISER - Lena Willikens | HÖR - Feb 26 / 2022,['https://www.icrc.org/en/donate/ukraine'],['www.icrc.org']
28609,28609,eEx4845VBf0,HÖR BERLIN,UCmfF7JZv26UUKyRedViGIlw,2022-02-26 19:09:12,HÖR SUPPORTS - UKRAINE EMERGENCY FUNDRAISER - Lena Willikens | HÖR - Feb 26 / 2022,['https://www.icrc.org/en/donate/ukraine'],['www.icrc.org']
28923,28923,2mZ8Dc0_Rao,HÖR BERLIN,UCmfF7JZv26UUKyRedViGIlw,2022-02-26 20:08:19,HÖR SUPPORTS - UKRAINE EMERGENCY FUNDRAISER - Nastia Reigel | HÖR - Feb 26 / 2022,['https://www.icrc.org/en/donate/ukraine'],['www.icrc.org']
29227,29227,jzZqv5fTu8w,HÖR BERLIN,UCmfF7JZv26UUKyRedViGIlw,2022-02-26 21:17:05,HÖR SUPPORTS - UKRAINE EMERGENCY FUNDRAISER - Nathalie Capello | HÖR - Feb 26 / 2022,['https://www.icrc.org/en/donate/ukraine'],['www.icrc.org']
29514,29514,9dTceCdXCMY,Bryan Jordan Music,UCfR2_xgHTrFEDeshc0faNwA,2022-02-26 22:30:10,TEARS FOR UKRAINE: Benefit Sound Bath | Donation Links in Description to Support Ukraine,"['https://www.globalgiving.org/projects/ukraine-crisis-relief-fund/', 'https://www.savethechildren.org/us/where-we-work/ukraine', 'https://www.facebook.com/sunflowerofpeace/', 'https://www.icrc.org/en/donate/ukraine']","['www.globalgiving.org', 'www.savethechildren.org', 'www.facebook.com', 'www.icrc.org']"
30580,30580,8MHoxBy8eh0,CHAY sounds,UC6gGoSoDXYk8TOszDobI_Iw,2022-02-27 04:03:14,Edwin Starr - War (C.H.A.Y. Remix) (Ukraine relief efforts in description),"['https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine', 'https://www.savethechildren.org/', 'https://www.rescue.org/press-release/russia-invades-ukraine-and-civilians-desperately-seek-safety-irc-prepares-worst-and', 'https://www.tiktok.com/@chaysounds?', 'https://www.instagram.com/chaysounds/', 'https://open.spotify.com/artist/5tMMTJbvSM8jApcukwqO9V?si=HsFQ2hqiRLKPNXqjJCaM3Q', 'https://soundcloud.com/chay', 'https://twitter.com/CHAYsounds', 'https://www.facebook.com/CHAYsounds', 'https://www.twitch.tv/chaysounds']","['www.icrc.org', 'www.savethechildren.org', 'www.rescue.org', 'www.tiktok.com', 'www.instagram.com', 'open.spotify.com', 'soundcloud.com', 'twitter.com', 'www.facebook.com', 'www.twitch.tv']"
30581,30581,8MHoxBy8eh0,CHAY sounds,UC6gGoSoDXYk8TOszDobI_Iw,2022-02-27 04:03:14,Edwin Starr - War (C.H.A.Y. Remix) (Ukraine relief efforts in description),"['https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine', 'https://www.savethechildren.org/', 'https://www.rescue.org/press-release/russia-invades-ukraine-and-civilians-desperately-seek-safety-irc-prepares-worst-and', 'https://www.tiktok.com/@chaysounds?', 'https://www.instagram.com/chaysounds/', 'https://open.spotify.com/artist/5tMMTJbvSM8jApcukwqO9V?si=HsFQ2hqiRLKPNXqjJCaM3Q', 'https://soundcloud.com/chay', 'https://twitter.com/CHAYsounds', 'https://www.facebook.com/CHAYsounds', 'https://www.twitch.tv/chaysounds']","['www.icrc.org', 'www.savethechildren.org', 'www.rescue.org', 'www.tiktok.com', 'www.instagram.com', 'open.spotify.com', 'soundcloud.com', 'twitter.com', 'www.facebook.com', 'www.twitch.tv']"
36097,36097,HPHHYqtXXqI,Fischer-Z Official,UC6gbAohPyLoD4bpqDVLYUNQ,2022-02-27 20:44:49,Red Skies Over Ukraine,['https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine'],['www.icrc.org']
36098,36098,HPHHYqtXXqI,Fischer-Z Official,UC6gbAohPyLoD4bpqDVLYUNQ,2022-02-27 20:44:49,Red Skies Over Ukraine,['https://www.icrc.org/en/where-we-work/europe-central-asia/ukraine'],['www.icrc.org']
36335,36335,StfO_H5x4-g,Ranivus Ch,UC04bVDU3xojYhKi6ISFEfOA,2022-02-27 21:32:48,[SERIOUS] Channels have been flagged for showing support for Ukraine [FearSona | Indie V-tuber],"['https://youtube.com/c/fearsona', 'https://twitch.tv/fearsona', 'https://www.icrc.org/en/donate/ukraine', 'https://www.projecthope.org', 'https://razomforukraine.org', 'https://twitter.com/IAPonomarenko/status/1497358324106514434', 'https://youtu.be/VxkDBZeNDvU', 'https://twitter.com/FEARSONAYT/status/1497513239747624964/']","['youtube.com', 'twitch.tv', 'www.icrc.org', 'www.projecthope.org', 'razomforukraine.org', 'twitter.com', 'youtu.be', 'twitter.com']"
